Year,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S
1958,.06,.15,-.02,.08,.20,-.14,-.17,.15,.12,.26,.15,-.08,-.08,-.47
1959,.03,.12,-.06,.16,.07,-.15,.48,.18,.05,.07,.08,-.03,-.26,-.33
1960,-.02,.08,-.12,.09,.02,-.19,.33,-.07,.11,.06,-.02,-.10,-.07,-.70
1961,.06,.08,.03,.19,-.04,.06,-.15,.38,.18,-.07,.00,.14,-.17,.25
1962,.04,.13,-.06,.24,-.05,-.06,.44,.31,.14,-.05,-.05,.09,-.08,-.55
1963,.05,.14,-.03,.14,.12,-.12,-.16,.31,.13,.13,.10,-.10,-.17,-.03
1964,-.20,-.19,-.21,-.23,-.14,-.25,-.67,-.20,-.12,-.14,-.14,-.30,-.07,-.40
1965,-.11,-.14,-.07,-.18,-.03,-.14,-.28,-.24,-.12,-.08,.02,-.23,-.03,-.03
1966,-.06,-.02,-.09,-.14,.08,-.16,-.76,-.19,.09,.16,-.01,-.24,-.14,.05
1967,-.02,.03,-.08,.12,-.14,-.01,.36,.26,-.05,-.11,-.17,-.09,-.02,.29
1968,-.08,-.07,-.09,-.10,-.07,-.08,-.33,-.02,-.08,-.02,-.11,-.14,.00,-.03
1969,.06,-.03,.15,-.29,.34,.03,-.04,-.61,-.17,.35,.32,.00,.13,-.09
1970,.02,-.04,.09,-.11,.07,.10,-.21,-.13,-.06,.07,.07,.11,.03,.26
1971,-.08,-.15,-.02,-.06,-.26,.12,-.08,.01,-.10,-.29,-.22,.03,.16,.40
1972,.01,-.17,.20,-.34,.17,.14,-.36,-.47,-.24,.07,.27,.16,-.02,.40
1973,.16,.10,.23,.11,.19,.18,.07,.27,.02,.08,.30,.22,.08,.32
1974,-.07,-.18,.03,-.14,-.20,.17,-.18,-.07,-.18,-.23,-.17,.22,-.08,.64
1975,-.01,-.05,.02,.12,-.23,.15,.10,.39,-.05,-.30,-.17,.13,.14,.25
1976,-.10,-.20,.01,-.26,-.11,.08,-.07,-.32,-.28,-.12,-.10,.10,.22,-.28
1977,.18,.12,.24,.14,.16,.25,.16,.24,.06,.10,.22,.21,.31,.24
1978,.07,.02,.11,-.03,.08,.16,-.16,.03,-.04,.11,.05,.21,.13,.03
1979,.16,.08,.25,-.03,.26,.23,-.61,.06,.09,.26,.27,.29,.33,-.21
1980,.26,.17,.35,.06,.31,.39,.26,.02,.02,.33,.29,.35,.37,.57
1981,.32,.37,.27,.48,.18,.35,1.09,.78,.08,.22,.14,.28,.38,.56
1982,.14,.06,.23,-.08,.27,.18,-.40,.10,-.09,.25,.29,.18,.32,-.12
